"seller_id","percentage_on_time","avg_review_score"
"7f2617c58d5d06806987308b45654351","0.91","3.9"
"236585a4ddb5fea9fa40233e2249ed91","0.91","4.1"
"eb3071b9f0b0ddaa2df5ea130f09f26b","0.91","4.6"
"373ee4a3a775a733770ca3f790b8b9ac","0.91","4.0"
"70a12e78e608ac31179aea7f8422044b","0.91","3.8"
"4ba52dfeba874da5b9ee7b17c7494f04","0.91","4.4"
"f125f3a310c2e5f822d116147de1e474","0.91","4.4"
"b18dc380845b24038cfc48006478f099","0.91","3.9"
"aac29b1b99776be73c3049939652091d","0.91","3.9"
"7c67e1448b00f6e969d365cea6b010ab","0.91","3.3"
"f0b47fbbc6dee9aafe415a6e33051b3f","0.91","4.2"
"d1ef48b38baca7e831711c4a0aeb398f","0.91","4.4"
"634964b17796e64304cadf1ad3050fb7","0.91","3.9"
"a888faf2d1baececa6baf9c3d603ee1f","0.91","4.1"
"5c6d4016c2a288f074fa0848a2b653d2","0.91","4.1"
"fe701d88b67eaca109dffd464d1be9f9","0.91","4.0"
"1835b56ce799e6a4dc4eddc053f04066","0.91","3.6"
"c4fabeea6e569d42d02993bb1f4f1cbc","0.91","4.0"
"4677a5437afda5fa7140b927b07be1cc","0.91","4.4"
"0dd184061fb0eaa7ca37932c68ab91c5","0.91","4.0"
"e819bcfade7b5d88a27325eb6cfd62c5","0.91","3.5"
"2d50d6282f8aa2257819a77bfaa0efe0","0.91","3.6"
"23613d49c3ac2bd302259e55c06c050c","0.91","3.7"
"4e922959ae960d389249c378d1c939f5","0.91","3.9"
"c5f7feb04a6a1fb3596322bfc3cf1917","0.91","4.3"
"7d76b645482be4a332374e8223836592","0.91","3.9"
"5343d0649eca2a983820bfe93fc4d17e","0.91","3.6"
"7b0df942f46435babab05d49b744b2c4","0.91","4.4"
"ececbfcff9804a2d6b40f589df8eef2b","0.91","4.1"
"1690cada046eb7e92c12f98b1f8a8167","0.91","4.5"
"17908cf9b444ee34047cadd5c0f4a516","0.91","4.5"
"daeb5653dd96c1b11860f72209795012","0.91","4.1"
"9df5750209b83567ec144eb299d7d634","0.91","4.0"
"bc302730ea8cf49b5c74f579febb5bbf","0.91","3.8"
"52f0fe436a347ddad7ed5f9aa4e27eaa","0.91","3.3"
"3ade81dab5a172b88e1871c28ae05260","0.91","4.1"
"615005a3ef192c00c6f0e977cee3d2bc","0.91","3.9"
"6ddc28b61be28373b4503a1f61cf98a9","0.91","4.2"
"fa1c13f2614d7b5c4749cbc52fecda94","0.91","4.3"
"e9d99831abad74458942f21e16f33f92","0.91","3.9"
"165fc07beebdcb6190fba8a06db2a449","0.91","3.7"
"2745f798279e0ed033addcc1474776d7","0.91","4.0"
"8b321bb669392f5163d04c59e235e066","0.91","4.0"
"13d058e4eeac2ce8217660b2f8a05812","0.91","4.2"
"ec80e49e69745ab6c14f984bf2149423","0.92","4.0"
"00720abe85ba0859807595bbf045a33b","0.92","3.7"
"3b15288545f8928d3e65a8f949a28291","0.92","3.9"
"9646c3513289980f17226a2fc4720dbd","0.92","4.3"
"977f9f63dd360c2a32ece2f93ad6d306","0.92","3.8"
"78c99c6dff4eeae5be99bf635ed21e3f","0.92","4.3"
"7357b52d27cbaa90f81a96cbc1279396","0.92","4.3"
"562f8cfc51f265411f487d07e9c40e7f","0.92","4.5"
"5ab05b6d86d417796c69ffd6774ec832","0.92","3.7"
"058cb5aeb36d7c0fcae20fc85d5e0a59","0.92","3.4"
"5d0363b33554b373851fc1622e4d5f3c","0.92","4.1"
"218d46b86c1881d022bce9c68a7d4b15","0.92","4.1"
"db2956745b3a8e9f3785c99f34b5d25e","0.92","3.7"
"f181738b150df1f37cb0bd72e705b193","0.92","4.5"
"d71d863e5ef30d94e440c11be17dcd8f","0.92","3.2"
"b14db04aa7881970e83ffa9426897925","0.92","3.8"
"17f51e7198701186712e53a39c564617","0.92","4.3"
"87b740daf17b5d1be335a64164ec6842","0.92","3.3"
"a36b125ac6d5fdbc7f50de85c9157bdc","0.92","4.0"
"6e864f5c4669eff3d98140a07cc50202","0.92","4.5"
"93dc87703c046b603023e75222018b45","0.92","4.0"
"8cc6a0e5738e61a87b03c78b2ba9db4b","0.92","4.2"
"1d8dbc4f32378d715c717c1c1fc57bae","0.92","3.9"
"cfe94489ddd337d1e29e12f2a7205d10","0.92","4.1"
"8476243f92442881ddd5b578975cf115","0.92","4.1"
"26d8a1c7c75d513045798992ead43aa2","0.92","4.2"
"522620dcb18a6b31cd7bdf73665113a9","0.92","3.9"
"ef506c96320abeedfb894c34db06f478","0.92","3.9"
"4c2b230173bb36f9b240f2b8ac11786e","0.92","3.8"
"bd1d49a326abfa9b1036772e40445430","0.92","3.8"
"ce7d1888639e6fb06b2749cbfdac1ff7","0.92","4.1"
"76d5af76d0271110f9af36c92573f765","0.92","4.1"
"058fd0aa2bfdb2274e05e1ae971dabb6","0.92","4.4"
"fb89df7f89fd1b8f03fa2acca1ba7364","0.92","3.8"
"2f09f7d37a97956d11cc1a7cadd5262b","0.92","3.1"
"cfb1a033743668a192316f3c6d1d2671","0.92","3.9"
"f615fe7efbef0f4f08fd3086bc7a3e60","0.92","4.4"
"e7df4cd29ab5abab70fb0783ddb53987","0.92","4.3"
"723cd880edaacdb998898b67c8f9da30","0.92","4.2"
"b8630e1121437d41cb08e3c749c2c2e2","0.92","4.3"
"729f06993dac8e860d4f02d7088ca48a","0.92","4.3"
"1f50f920176fa81dab994f9023523100","0.92","4.0"
"39d54ff918774174706fb065d7f9dc07","0.92","3.8"
"fe2032dab1a61af8794248c8196565c9","0.92","4.4"
"c3acdfac4e3e97ff87529454fbc03642","0.92","4.3"
"acadd4d36859671cb635527c6c977533","0.92","4.3"
"1d29dfba02015238dfbe2449a5eaa361","0.92","4.5"
"1336efc61c316ddf92c899eb817f7cae","0.92","3.9"
"1cbd32d00d01bb8087a5eb088612fd9c","0.92","4.3"
"ea8482cd71df3c1969d7b9473ff13abc","0.92","4.0"
"0afccdb8a34ee5c79f7c06faf2b4d56e","0.92","4.0"
